,Username,Category,Followers,Followees,Posts,Level
8758,blogcalledjacq,fashion,9999,771,2117,Micro
8759,itslenatime,fashion,9998,675,635,Micro
8760,_sparnold_,fashion,9996,981,363,Micro
8761,ana.da.rocha,fashion,9994,811,1064,Micro
8762,thegarsowtwins,fashion,9993,1229,543,Micro
8763,takemebacktoparis,fashion,9992,2161,2008,Micro
8764,urbanizedfashion,fashion,9989,3706,498,Micro
8765,amanda_h_jones,fashion,9989,1441,1208,Micro
8766,aureliablog,fashion,9985,3632,1169,Micro
8767,jessicalynnmartin_,fashion,9981,2464,979,Micro
8768,enerianna,fashion,9979,860,2233,Micro
8769,lynnettejoselly,fashion,9974,905,1778,Micro
8770,wilderbiralpage,fashion,9972,765,378,Micro
8771,sheybonillamodel,fashion,9971,2479,805,Micro
8772,missflavia_,fashion,9970,996,242,Micro
8773,wearskelly,fashion,9968,994,1434,Micro
8774,ciaobellafran,fashion,9968,1340,323,Micro
8775,jjacqueline___,fashion,9968,570,323,Micro
8776,erikacaroliina,fashion,9966,993,2637,Micro
8777,boutique.seventeen,fashion,9964,409,439,Micro
8778,emmacatherine09,fashion,9963,401,314,Micro
8779,alejandro__calvo,fashion,9963,996,260,Micro
8780,sophiestrails,fashion,9954,2720,432,Micro
8781,melissamandula,fashion,9948,748,1286,Micro
8782,carolinenicodemus,fashion,9941,1137,642,Micro
8783,charlottestrong,fashion,9933,2796,568,Micro
8784,chanellespivak,fashion,9926,2560,305,Micro
8785,mk_fllo,fashion,9923,3311,391,Micro
8786,lai_tiffany,fashion,9922,747,738,Micro
8787,rachelnorstrom,fashion,9920,5052,201,Micro
8788,aluiza__,fashion,9919,916,1496,Micro
8789,riohooper,fashion,9919,522,761,Micro
8790,jessica_vanheerden,fashion,9912,879,922,Micro
8791,fashiontimes.it,fashion,9895,1492,2208,Micro
8792,reaganmbernard,fashion,9895,670,376,Micro
8793,xlaurengregoryx,fashion,9893,692,468,Micro
8794,curlsandcontours,fashion,9891,1716,940,Micro
8795,chicandcheaplifestyles,fashion,9882,1280,396,Micro
8796,trendy.dianou,fashion,9882,1086,1218,Micro
8797,chiara_conte_singerviolinist,fashion,9852,1813,961,Micro
8798,thedelilahblog,fashion,9847,1585,957,Micro
8799,sefalimahida,fashion,9845,93,458,Micro
8800,vogue.pk,fashion,9833,643,2594,Micro
8801,fabeautrends,fashion,9829,593,949,Micro
8802,thoughtfulwish,fashion,9825,1989,1419,Micro
8803,canaldabianca,fashion,9824,383,373,Micro
8804,nicolss,fashion,9822,476,592,Micro
8805,natlovesthat,fashion,9821,1348,712,Micro
8806,avec_mac,fashion,9818,991,371,Micro
8807,annaliesedayes,fashion,9812,1806,747,Micro
8808,zacdeck,fashion,9810,214,969,Micro
8809,torrisunshine,fashion,9806,1929,1394,Micro
8810,benjamindiedering,fashion,9801,1781,701,Micro
8811,sostyles,fashion,9801,1108,478,Micro
8812,cassandramarouki,fashion,9798,479,226,Micro
8813,homeofstars,fashion,9797,2480,1685,Micro
8814,juliacabanblog,fashion,9786,467,1145,Micro
8815,bysuellenmandu,fashion,9772,1714,730,Micro
8816,funkyflairboutique,fashion,9771,2904,5025,Micro
8817,team2ramos,fashion,9765,553,1630,Micro
8818,janaaasland,fashion,9756,978,424,Micro
8819,haayyllleeyy,fashion,9756,2397,497,Micro
8820,chelseaeve_templeton,fashion,9747,2970,1596,Micro
8821,asmammalek,fashion,9746,379,642,Micro
8822,mattlummus,fashion,9732,1779,2646,Micro
8823,eclectickurves,fashion,9731,985,930,Micro
8824,thenikkistandard,fashion,9730,782,707,Micro
8825,__y___u_,fashion,9728,533,210,Micro
8826,ally_bing,fashion,9727,262,1041,Micro
8827,miloutjioe,fashion,9724,728,774,Micro
8828,mattiapallozzi,fashion,9710,2425,719,Micro
